00GE               20211117                                                                                   
0601GEA0N       20220101002865005000010000 0000000000002992   
0601GEA0N       20220101002875005000010000 0000000000002995   
0601GEA0N       20220101002885005000010000 0000000000002998   
0601GEA0N       20220101002895005000010000 0000000000003002   
0601GEA0N       20220101002905005000010000 0000000000003005   
0601GEA0N       20220101002915005000010000 0000000000003008   
0601GEA0N       20220101002925005000010000 0000000000003012   
0601GEA0N       20220101002935005000010000 0000000000003015   
0601GEA0N       20220101002945005000010000 0000000000003018   
0601GEA0N       20220101002955005000010000 0000000000003021   
0601GEA0N       20220101002965005000010000 0000000000003024   
0601GEA0N       20220101002975005000010000 0000000000003027   
0601GEA0N       20220101002985005000010000 0000000000003031   
0601GEA0N       20220101002995005000010000 0000000000003033   
0601GEA0N       20220101003005005000010000 0000000000003037   
0601GEA0N       20220101003015005000010000 0000000000003040   
0601GEA0N       20220101003025005000010000 0000000000003043   
0601GEA0N       20220101003035005000010000 0000000000003046   
0601GEA0N       20220101003045005000010000 0000000000003049   
0601GEA0N       20220101003055005000010000 0000000000003052   
0601GEA0N       20220101003065005000010000 0000000000003055   
0601GEA0N       20220101003075005000010000 0000000000003058   
0601GEA0N       20220101003085005000010000 0000000000003060   
0601GEA0N       20220101003095005000010000 0000000000003063   
0601GEA0N       20220101003105005000010000 0000000000003066   
0601GEA0N       20220101003115005000010000 0000000000003069   
0601GEA0N       20220101003125005000010000 0000000000003072   
0601GEA0N       20220101003135005000010000 0000000000003074   
0601GEA0N       20220101003145005000010000 0000000000003077   
0601GEA0N       20220101003155005000010000 0000000000003080   
0601GEA0N       20220101003165005000010000 0000000000003083   
0601GEA0N       20220101003175005000010000 0000000000003086   
0601GEA0N       20220101003185005000010000 0000000000003089   
0601GEA0N       20220101003195005000010000 0000000000003091   
0601GEA0N       20220101003205005000010000 0000000000003094   
0601GEA0N       20220101003215005000010000 0000000000003096   
0601GEA0N       20220101003225005000010000 0000000000003099   
0601GEA0N       20220101003235005000010000 0000000000003102   
0601GEA0N       20220101003245005000010000 0000000000003104   
0601GEA0N       20220101003255005000010000 0000000000003107   
0601GEA0N       20220101003265005000010000 0000000000003110   
0601GEA0N       20220101003275005000010000 0000000000003112   
0601GEA0N       20220101003285005000010000 0000000000003115   
0601GEA0N       20220101003295005000010000 0000000000003117   
0601GEA0N       20220101003305005000010000 0000000000003120   
0601GEA0N       20220101003315005000010000 0000000000003122   
0601GEA0N       20220101003325005000010000 0000000000003125   
0601GEA0N       20220101003335005000010000 0000000000003127   
0601GEA0N       20220101003345005000010000 0000000000003130   
0601GEA0N       20220101003355005000010000 0000000000003132   
0601GEA0N       20220101003365005000010000 0000000000003135   
0601GEA0N       20220101003375005000010000 0000000000003137   
0601GEA0N       20220101003385005000010000 0000000000003139   
0601GEA0N       20220101003395005000010000 0000000000003142   
0601GEA0N       20220101003405005000010000 0000000000003144   
0601GEA0N       20220101003415005000010000 0000000000003146   
0601GEA0N       20220101003425005000010000 0000000000003149   
0601GEA0N       20220101003435005000010000 0000000000003151   
0601GEA0N       20220101003445005000010000 0000000000003153   
0601GEA0N       20220101003455005000010000 0000000000003156   
0601GEA0N       20220101003465005000010000 0000000000003158   
0601GEA0N       20220101003475005000010000 0000000000003160   
0601GEA0N       20220101003485005000010000 0000000000003163   
0601GEA0N       20220101003495005000010000 0000000000003165   
0601GEA0N       20220101003505005000010000 0000000000003167   
0601GEA0N       20220101003515005000010000 0000000000003170   
0601GEA0N       20220101003525005000010000 0000000000003172   
0601GEA0N       20220101003535005000010000 0000000000003174   
0601GEA0N       20220101003545005000010000 0000000000003176   
0601GEA0N       20220101003555005000010000 0000000000003178   
0601GEA0N       20220101003565005000010000 0000000000003180   
0601GEA0N       20220101003575005000010000 0000000000003182   
0601GEA0N       20220101003585005000010000 0000000000003185   
0601GEA0N       20220101003595005000010000 0000000000003187   
0601GEA0N       20220101003605005000010000 0000000000003189   
0601GEA0N       20220101003615005000010000 0000000000003191   
0601GEA0N       20220101003625005000010000 0000000000003193   
0601GEA0N       20220101003635005000010000 0000000000003195   
0601GEA0N       20220101003645005000010000 0000000000003197   
0601GEA0N       20220101003655005000010000 0000000000003200   
0601GEA0N       20220101003665005000010000 0000000000003201   
0601GEA0N       20220101003675005000010000 0000000000003204   
0601GEA0N       20220101003685005000010000 0000000000003206   
0601GEA0N       20220101003695005000010000 0000000000003208   
0601GEA0N       20220101003705005000010000 0000000000003210   
0601GEA0N       20220101003715005000010000 0000000000003211   
0601GEA0N       20220101003725005000010000 0000000000003214   
0601GEA0N       20220101003735005000010000 0000000000003216   
0601GEA0N       20220101003745005000010000 0000000000003217   
0601GEA0N       20220101003755005000010000 0000000000003219   
0601GEA0N       20220101003765005000010000 0000000000003222   
0601GEA0N       20220101003775005000010000 0000000000003223   
0601GEA0N       20220101003785005000010000 0000000000003225   
0601GEA0N       20220101003795005000010000 0000000000003228   
0601GEA0N       20220101003805005000010000 0000000000003229   
0601GEA0N       20220101003815005000010000 0000000000003232   
