00VD               20220112                                                                                   
0601VDA0N       20220101007550100000050000 0000000000003847   
0601VDA0N       20220101007600100000050000 0000000000003848   
0601VDA0N       20220101007650100000050000 0000000000003850   
0601VDA0N       20220101007700100000050000 0000000000003852   
0601VDA0N       20220101007750100000050000 0000000000003854   
0601VDA0N       20220101007800100000050000 0000000000003856   
0601VDA0N       20220101007850100000050000 0000000000003858   
0601VDA0N       20220101007900100000050000 0000000000003860   
0601VDA0N       20220101007950100000050000 0000000000003862   
0601VDA0N       20220101008000100000050000 0000000000003864   
0601VDA0N       20220101008050100000050000 0000000000003866   
0601VDA0N       20220101008100100000050000 0000000000003867   
0601VDA0N       20220101008150100000050000 0000000000003869   
0601VDA0N       20220101008200100000050000 0000000000003871   
0601VDA0N       20220101008250100000050000 0000000000003872   
0601VDA0N       20220101008300100000050000 0000000000003874   
0601VDA0N       20220101008350100000050000 0000000000003875   
0601VDA0N       20220101008400100000050000 0000000000003877   
0601VDA0N       20220101008450100000050000 0000000000003880   
0601VDA0N       20220101008500100000050000 0000000000003881   
0601VDA0N       20220101008550100000050000 0000000000003883   
0601VDA0N       20220101008600100000050000 0000000000003884   
0601VDA0N       20220101008650100000050000 0000000000003886   
0601VDA0N       20220101008700100000050000 0000000000003887   
0601VDA0N       20220101008750100000050000 0000000000003889   
0601VDA0N       20220101008800100000050000 0000000000003890   
0601VDA0N       20220101008850100000050000 0000000000003892   
0601VDA0N       20220101008900100000050000 0000000000003893   
0601VDA0N       20220101008950100000050000 0000000000003894   
0601VDA0N       20220101009000100000050000 0000000000003895   
0601VDA0N       20220101009050100000050000 0000000000003897   
0601VDA0N       20220101009100100000050000 0000000000003898   
0601VDA0N       20220101009150100000050000 0000000000003901   
0601VDA0N       20220101009200100000050000 0000000000003902   
0601VDA0N       20220101009250100000050000 0000000000003903   
0601VDA0N       20220101009300100000050000 0000000000003905   
0601VDA0N       20220101009350100000050000 0000000000003906   
0601VDA0N       20220101009400100000050000 0000000000003907   
0601VDA0N       20220101009450100000050000 0000000000003908   
0601VDA0N       20220101009500100000050000 0000000000003910   
0601VDA0N       20220101009550100000050000 0000000000003911   
0601VDA0N       20220101009600100000050000 0000000000003912   
0601VDA0N       20220101009650100000050000 0000000000003913   
0601VDA0N       20220101009700100000050000 0000000000003914   
0601VDA0N       20220101009750100000050000 0000000000003916   
0601VDA0N       20220101009800100000050000 0000000000003917   
0601VDA0N       20220101009850100000050000 0000000000003918   
0601VDA0N       20220101009900100000050000 0000000000003919   
0601VDA0N       20220101009950100000050000 0000000000003921   
0601VDA0N       20220101010000100040000000 0000000000003922   
0601VDA1N       20220101000000100000295000 0100000000000000   
0601VDA1N       20220101000295100000005000 0100000000000006   
0601VDA1N       20220101000300100000005000 0100000000000012   
0601VDA1N       20220101000305100000005000 0100000000000024   
0601VDA1N       20220101000310100000005000 0100000000000034   
0601VDA1N       20220101000315100000005000 0100000000000044   
0601VDA1N       20220101000320100000005000 0100000000000056   
0601VDA1N       20220101000325100000005000 0100000000000069   
0601VDA1N       20220101000330100000005000 0100000000000081   
0601VDA1N       20220101000335100000005000 0100000000000094   
0601VDA1N       20220101000340100000005000 0100000000000110   
0601VDA1N       20220101000345100000005000 0100000000000129   
0601VDA1N       20220101000350100000005000 0100000000000145   
0601VDA1N       20220101000355100000005000 0100000000000159   
0601VDA1N       20220101000360100000005000 0100000000000175   
0601VDA1N       20220101000365100000005000 0100000000000192   
0601VDA1N       20220101000370100000005000 0100000000000209   
0601VDA1N       20220101000375100000005000 0100000000000227   
0601VDA1N       20220101000380100000005000 0100000000000242   
